gene_symbol,gene_name,regulation,entrez_id,p_value,BH_adjusted_p_value,bonferroni_p_value,probe_id,X,probe_name,is_reannotated,chromosome
TAGLN2,transgelin 2,Up,8407,1.8208919526465828e-6,7.013235389924184e-4,0.01823441201380288,1049738,34012,A_23_P74138,FALSE,chr1
NTNG2,netrin G2,Up,84628,1.917591213354612e-6,7.112132744641883e-4,0.019202758410533084,1037491,22899,A_23_P423331,FALSE,chr9
OPN4,opsin 4,Up,94233,2.0928585163088513e-6,7.425024264268647e-4,0.020957885182316838,1023053,10079,A_23_P24234,FALSE,chr10
RASL10A,RAS like family 10 member A,Up,10633,2.1502466912701292e-6,7.425024264268647e-4,0.021532570366379074,1026121,12757,A_23_P166400,FALSE,chr22
THBD,thrombomodulin,Up,7056,2.2284721247919123e-6,7.438639952555404e-4,0.02231591985766621,1050807,34945,A_23_P91390,FALSE,chr20
SOX5,SRY-box transcription factor 5,Up,6660,2.4161680340283236e-6,7.805002158954721e-4,0.024195506692759633,1026456,13063,A_24_P27234,FALSE,chr12
SATB1,SATB homeobox 1,Down,6304,3.2401109612117476e-6,0.0010139522239242013,0.03244647116557444,1014376,3187,CUST_12143_PI416261804,FALSE,chr3
TINCR,TINCR ubiquitin domain containing,Up,257000,3.4286383148314754e-6,0.001040435881355224,0.0343343840847224,1010572,229,A_23_P39294,FALSE,chr19
CYP1B1,cytochrome P450 family 1 subfamily B member 1,Up,1545,3.6901244915092905e-6,0.0010868501958227657,0.03695290665797404,1057798,40492,A_23_P209625,FALSE,chr2
PNLDC1,"PARN like, ribonuclease domain containing 1",Down,154197,4.073258216309382e-6,0.0011654173650892043,0.04078960777812215,1034218,19893,A_23_P323243,FALSE,chr6
MAP2K1,mitogen-activated protein kinase kinase 1,Up,5604,4.422634513759409e-6,0.001230229500577409,0.04428826202078672,1052654,36363,A_23_P20248,FALSE,chr15
SPHKAP,"SPHK1 interactor, AKAP domain containing",Up,80309,5.178850951945152e-6,0.0013774494741176679,0.05186101343277875,1015686,4235,A_23_P392654,FALSE,chr2
BAIAP2L2,BAR/IMD domain containing adaptor protein 2 like 2,Up,80115,5.226990215345654e-6,0.0013774494741176679,0.05234308001647137,1038664,23999,CUST_10314_PI416261804,FALSE,chr22
ADRA1B,adrenoceptor alpha 1B,Up,147,5.492591494968281e-6,0.0013889845874532657,0.05500281123061237,1023485,10465,A_23_P33326,FALSE,chr5
MAP6,microtubule associated protein 6,Up,4135,5.548170910538309e-6,0.0013889845874532657,0.05555938349813063,1054296,37793,A_23_P47728,FALSE,chr11
SLC44A5,solute carrier family 44 member 5,Down,204962,6.129274189847016e-6,0.0014773450740997287,0.06137855173712802,1014151,3001,CUST_6034_PI416261804,FALSE,chr1
GARNL3,GTPase activating Rap/RanGAP domain like 3,Up,84253,6.196174666685501e-6,0.0014773450740997287,0.0620484931121886,1037734,23123,A_24_P158314,FALSE,chr9
GNB4,G protein subunit beta 4,Up,59345,6.411775971001057e-6,0.0014800830318274995,0.06420752457360458,1040254,25463,A_32_P171313,FALSE,chr3
MCF2L2,MCF.2 cell line derived transforming sequence-like 2,Down,23101,6.503260774956059e-6,0.0014800830318274995,0.06512365340040997,1046026,30693,A_23_P432444,FALSE,chr3
ADAMTS9,ADAM metallopeptidase with thrombospondin type 1 motif 9,Up,56999,6.7514938242262545e-6,0.0015024324256844824,0.06760945915580172,1027903,14306,A_32_P196263,FALSE,chr3
PNMA8B,PNMA family member 8B,Up,57469,7.690468213105298e-6,0.0016741814931747056,0.07701234868603646,1019506,7199,A_23_P383101,FALSE,chr19
SFMBT2,Scm like with four mbt domains 2,Up,57713,8.021476463948301e-6,0.001709086495956985,0.08032706530997828,1067717,43960,A_32_P98291,TRUE,chr10
PCDHB2,protocadherin beta 2,Down,56133,8.653326601398253e-6,0.0018053002622167105,0.08665441258640211,1041329,26415,A_23_P213375,FALSE,chr5
SKAP2,src kinase associated phosphoprotein 2,Up,8935,9.643530769247578e-6,0.0019708227984335763,0.09657031712324525,1049146,33483,A_23_P157128,FALSE,chr7
NPY,neuropeptide Y,Up,4852,1.0723936929744836e-5,0.0021477900882892957,0.10738950441446479,1053653,37217,CUST_16166_PI416261804,FALSE,chr7
PLEKHA4,pleckstrin homology domain containing A4,Up,57664,1.1482504627156021e-5,0.0022546235556145174,0.1149858013363404,1010445,130,A_24_P408047,FALSE,chr19
LRRN2,leucine rich repeat neuronal 2,Up,10446,1.2717095649851435e-5,0.0024490191507233125,0.12734899583761228,1024046,10957,A_23_P11843,FALSE,chr1
HCN4,hyperpolarization activated cyclic nucleotide gated potassium channel 4,Up,10021,1.36204276342817e-5,0.0025405738803700416,0.13639496232969694,1047912,32390,CUST_1155_PI416379584,FALSE,chr15
TRH,thyrotropin releasing hormone,Up,7200,1.3752784053878962e-5,0.0025405738803700416,0.13772037951554392,1050608,34793,A_23_P132760,FALSE,chr3
TMTC4,transmembrane O-mannosyltransferase targeting cadherins 4,Down,84899,1.3953621272254074e-5,0.0025405738803700416,0.1397315634203523,1017191,5371,A_23_P65230,FALSE,chr13
SMARCD3,"SWI/SNF related, matrix associated, actin dependent regulator of chromatin, subfamily d, member 3",Up,6604,1.4317591164322757e-5,0.002560292105705859,0.1433763579195281,1026342,12960,CUST_8949_PI416261804,FALSE,chr7
LCMT1,leucine carboxyl methyltransferase 1,Up,51451,1.50970770428825e-5,0.002652318061533778,0.15118212950742535,1025897,12560,A_23_P112825,FALSE,chr16
TDRD9,tudor domain containing 9,Up,122402,1.541512125476356e-5,0.0026615004180207294,0.1543670242452023,1035795,21340,A_32_P208350,FALSE,chr14
ZNF827,zinc finger protein 827,Up,152485,1.577739673223217e-5,0.0026670782022882034,0.15799485087657297,1065553,43429,A_23_P72372,TRUE,chr4
ST3GAL1,"ST3 beta-galactoside alpha-2,3-sialyltransferase 1",Up,6482,1.6031955210967442e-5,0.0026670782022882034,0.16054399948262796,1029513,15680,A_23_P31896,FALSE,chr8
NIPAL2,NIPA like domain containing 2,Down,79815,1.671225756979e-5,0.0026670782022882034,0.16735654730387706,1061229,42326,A_24_P798709,TRUE,chr8
PLA2G4A,phospholipase A2 group IVA,Up,5321,1.672560610628414e-5,0.0026670782022882034,0.16749021954832938,1021145,8570,A_23_P11685,FALSE,chr1
SST,somatostatin,Up,6750,1.6779101931711284e-5,0.0026670782022882034,0.1680259267441568,1025747,12443,CUST_980_PI417557136,FALSE,chr3
CNTN6,contactin 6,Up,27255,2.0224644854884594e-5,0.003164524899637724,0.20252959357681433,1044543,29333,A_23_P155404,FALSE,chr3
RIT2,Ras like without CAAX 2,Up,6014,2.147629352934781e-5,0.0033086708215829073,0.21506360340288896,1052176,35943,CUST_6645_PI416261804,FALSE,chr18
KLK7,kallikrein related peptidase 7,Up,5650,2.3939795160794623e-5,0.0035265719476908794,0.23973310874019735,1030762,16779,CUST_11497_PI416261804,FALSE,chr19
FMOD,fibromodulin,Up,2331,2.4015062962845152e-5,0.0035265719476908794,0.24048684050993135,1056913,39755,A_23_P114883,FALSE,chr1
DCBLD1,"discoidin, CUB and LCCL domain containing 1",Down,285761,2.41852395771267e-5,0.0035265719476908794,0.24219098912534676,1032276,18150,A_23_P409462,FALSE,chr6
DCLK2,doublecortin like kinase 2,Up,166614,2.4299327380734042e-5,0.0035265719476908794,0.2433334643906707,1022910,9961,A_23_P304524,FALSE,chr4
RASGEF1C,RasGEF domain family member 1C,Up,255426,2.732365496394729e-5,0.003908844011556688,0.2736190808089682,1032848,18649,A_24_P383762,FALSE,chr5
STK32C,serine/threonine kinase 32C,Up,282974,2.783958851855802e-5,0.0039265583017583094,0.27878563942484,1032642,18457,A_24_P64329,FALSE,chr10
GXYLT2,glucoside xylosyltransferase 2,Up,727936,3.13771908100519e-5,0.0043109347850895695,0.3142111887718598,1066192,43580,A_32_P3214,TRUE,chr3
GALNT14,polypeptide N-acetylgalactosaminyltransferase 14,Up,79623,3.1425827772272675e-5,0.0043109347850895695,0.31469823931153856,1039165,24468,A_23_P67847,FALSE,chr2
CDH6,cadherin 6,Up,1004,3.238868877480112e-5,0.00438297742420079,0.3243403293908584,1067412,43883,A_32_P134764,TRUE,chr5
ZDHHC12,zinc finger DHHC-type containing 12,Up,84885,3.369015805112695e-5,0.004498309902986471,0.3373732427239853,1037286,22712,A_23_P158007,FALSE,chr9
TBX1,T-box transcription factor 1,Down,6899,3.8514423314784495e-5,0.005055150527167594,0.38568343507425196,1030073,16192,A_23_P211345,FALSE,chr22
VWA5A,von Willebrand factor A domain containing 5A,Up,4013,3.8870240722179426e-5,0.005055150527167594,0.38924659059190475,1054539,37975,A_23_P98455,FALSE,chr11
SYNPR,synaptoporin,Up,132204,4.1134347116876945e-5,0.0052810173336975096,0.41191935202840574,1010567,225,A_23_P80718,FALSE,chr3
NUDT18,nudix hydrolase 18,Up,79873,4.463043685200585e-5,0.005610728837085449,0.44692919463598657,1038856,24177,A_23_P123454,FALSE,chr8
WDR54,WD repeat domain 54,Up,84058,4.527998986473632e-5,0.005610728837085449,0.4534338185054695,1037902,23282,CUST_123_PI416261804,FALSE,chr2
TG,thyroglobulin,Up,7038,4.538336686677865e-5,0.005610728837085449,0.4544690358039214,1050831,34966,A_23_P32454,FALSE,chr8
RAB3C,"RAB3C, member RAS oncogene family",Up,115827,4.840713077362439e-5,0.005866953720419142,0.4847490075670747,1062511,42669,A_32_P77831,TRUE,chr5
PEG10,paternally expressed 10,Up,23089,4.86276371874165e-5,0.005866953720419142,0.4869571587947888,1022808,9899,A_23_P82503,FALSE,chr7
ZFP36,ZFP36 ring finger protein,Up,7538,5.031204891585238e-5,0.005997914974325545,0.5038248578433457,1050291,34516,A_23_P39237,FALSE,chr19
FAM162B,family with sequence similarity 162 member B,Down,221303,5.154333990878644e-5,0.006065568546084073,0.5161550058465874,1015738,4279,A_23_P145054,FALSE,chr6
C5orf49,chromosome 5 open reading frame 49,Up,134121,5.209096214931399e-5,0.006065568546084073,0.5216388949632302,1018192,6163,CUST_658_PI416573500,FALSE,chr5
GDPD5,glycerophosphodiester phosphodiesterase domain containing 5,Up,81544,5.688804051302311e-5,0.0064784650876352524,0.5696768376974134,1038348,23699,A_23_P87401,FALSE,chr11
SYT17,synaptotagmin 17,Up,51760,5.69307896656583e-5,0.0064784650876352524,0.5701049277119022,1043123,28059,CUST_1342_PI416261804,FALSE,chr16
TMPO,thymopoietin,Down,7112,5.766219713660691e-5,0.0064879690126514785,0.5774292421259816,1030733,46943,CUST_4027_PI416261804,FALSE,chr12
MYL12B,myosin light chain 12B,Up,103910,6.0000013847733895e-5,0.006676001540791191,0.6008401386712072,1069119,47455,CUST_3144_PI416261804,FALSE,chr18
ASIC2,acid sensing ion channel subunit 2,Up,40,6.509302254914554e-5,0.0071630937121664115,0.6518415278071434,1059455,41954,A_32_P159612,FALSE,chr17
ANTXR2,ANTXR cell adhesion molecule 2,Up,118429,7.127796180112765e-5,0.007758451189961872,0.7137775094764923,1035949,45311,A_23_P170733,FALSE,chr4
DSCC1,DNA replication and sister chromatid cohesion 1,Down,79075,7.320662341832935e-5,0.007882700289367205,0.7330911269111501,1039390,24678,CUST_10772_PI416261804,FALSE,chr8
ORAI2,ORAI calcium release-activated calcium modulator 2,Up,80228,7.402483241502864e-5,0.007886007146852093,0.7412846718040967,1015478,4102,A_24_P329353,FALSE,chr7
CAVIN3,caveolae associated protein 3,Up,112464,7.92349327313794e-5,0.008314124227705031,0.7934586163720333,1036388,21881,A_23_P203475,FALSE,chr11
CASQ1,calsequestrin 1,Up,844,7.970400697620162e-5,0.008314124227705031,0.798155925859683,1058573,41163,A_23_P173,FALSE,chr1
NUDT2,nudix hydrolase 2,Up,318,9.018241111455593e-5,0.009310171803104774,0.9030866649011631,1024183,11086,A_23_P112478,FALSE,chr9
WWC1,WW and C2 domain containing 1,Up,23286,9.333907251967915e-5,0.009537729308286398,0.934697472212067,1045850,30525,CUST_10861_PI416261804,FALSE,chr5
ASL,argininosuccinate lyase,Up,435,1.001137995924725e-4,0.01004732767657582,1,1024532,11390,CUST_91_PI416408490,FALSE,chr7
CDKL5,cyclin dependent kinase like 5,Up,6792,1.0033281083059536e-4,0.01004732767657582,1,1022381,9572,CUST_153_PI416408490,FALSE,chrX
MTCH1,mitochondrial carrier 1,Up,23787,1.0277197328556597e-4,0.010101412360586304,1,1019414,7128,A_23_P145388,TRUE,chr6
SLA,Src like adaptor,Up,6503,1.0299646900123817e-4,0.010101412360586304,1,1021121,8553,A_23_P216340,FALSE,chr8
BSPRY,B-box and SPRY domain containing,Up,54836,1.0389908859001293e-4,0.010101412360586304,1,1042630,27613,A_23_P71946,FALSE,chr9
CYTH4,cytohesin 4,Up,27128,1.101099203245843e-4,0.0106023148281768,1,1044633,29421,A_23_P155057,FALSE,chr22
SLC10A4,solute carrier family 10 member 4,Down,201780,1.1474727140769717e-4,0.010943611198825517,1,1033436,19194,A_23_P314811,FALSE,chr4
MAGED1,MAGE family member D1,Up,9500,1.2333084529376622e-4,0.011651274384639386,1,1030500,45143,A_23_P135634,FALSE,chrX
KLHDC8A,kelch domain containing 8A,Up,55220,1.334704255306833e-4,0.01240230792412792,1,1042130,27156,A_24_P62800,FALSE,chr1
CABCOCO1,ciliary associated calcium binding coiled-coil 1,Up,219621,1.337576648497918e-4,0.01240230792412792,1,1033307,19072,A_32_P8156,FALSE,chr10
CPNE4,copine 4,Up,131034,1.3734850881896502e-4,0.012546689720433006,1,1035310,20890,CUST_12_PI416261804,FALSE,chr3
TRPC4,transient receptor potential cation channel subfamily C member 4,Up,7223,1.394267544322198e-4,0.012546689720433006,1,1012820,1917,CUST_15186_PI416261804,FALSE,chr13
ZNF711,zinc finger protein 711,Down,7552,1.3982595416006587e-4,0.012546689720433006,1,1050273,34500,A_23_P340148,FALSE,chrX
PCBD1,pterin-4 alpha-carbinolamine dehydratase 1,Up,5092,1.403264678139102e-4,0.012546689720433006,1,1053334,36943,A_23_P367405,FALSE,chr10
QSOX1,quiescin sulfhydryl oxidase 1,Up,5768,1.4265064298846602e-4,0.012641624237933616,1,1052458,36198,A_23_P12463,FALSE,chr1
DUSP23,dual specificity phosphatase 23,Up,54935,1.5394776304709365e-4,0.013523095606610488,1,1042493,27487,A_23_P103232,FALSE,chr1
SORBS2,sorbin and SH3 domain containing 2,Up,8470,1.575984453322905e-4,0.013527154937860176,1,1029199,15402,A_23_P121795,FALSE,chr4
ACTR5,actin related protein 5,Down,79913,1.578222969342942e-4,0.013527154937860176,1,1038813,24138,A_23_P165952,FALSE,chr20
TWIST1,twist family bHLH transcription factor 1,Up,7291,1.580464477461195e-4,0.013527154937860176,1,1050537,34730,A_23_P71067,FALSE,chr7
ANGPT1,angiopoietin 1,Up,284,1.6098780617909586e-4,0.013624354374950794,1,1059214,41738,A_24_P60887,FALSE,chr8
NRN1L,neuritin 1 like,Up,123904,1.6190315264820695e-4,0.013624354374950794,1,1035732,21283,A_32_P8551,FALSE,chr16
STUM,"stum, mechanosensory transduction mediator homolog",Up,375057,1.644456711495741e-4,0.01372299125743196,1,1031607,17533,CUST_7214_PI416261804,FALSE,chr1
KIF3A,kinesin family member 3A,Up,11127,1.6761738255797082e-4,0.013872069991202643,1,1046564,31189,CUST_16746_PI416261804,FALSE,chr5
DAPL1,death associated protein like 1,Up,92196,1.7048490769182344e-4,0.013968477873529193,1,1025820,45029,A_23_P165598,FALSE,chr2
PBX3,PBX homeobox 3,Up,5090,1.715720769366977e-4,0.013968477873529193,1,1018572,6473,A_23_P71821,FALSE,chr9
KCNMB1,potassium calcium-activated channel subfamily M regulatory beta subunit 1,Up,3779,1.7773161047090328e-4,0.014353260864964723,1,1054787,38192,A_23_P19142,FALSE,chr5
ZAP70,zeta chain of T cell receptor associated protein kinase 70,Up,7535,1.7949318699508638e-4,0.014379558196550358,1,1027375,13820,A_23_P39682,FALSE,chr2
FAM20A,FAM20A golgi associated secretory pathway pseudokinase,Down,54757,1.844873945114633e-4,0.014639184383698682,1,1014381,3190,A_32_P108254,FALSE,chr17
SKIDA1,SKI/DACH domain containing 1,Down,387640,1.856583103424665e-4,0.014639184383698682,1,1031481,17422,A_32_P152767,FALSE,chr10
KCTD18,potassium channel tetramerization domain containing 18,Down,130535,1.889476150884303e-4,0.014639184383698682,1,1035349,20928,CUST_15387_PI416261804,FALSE,chr2
SNTG1,syntrophin gamma 1,Down,54212,1.897451583561007e-4,0.014639184383698682,1,1064668,43213,A_23_P112100,TRUE,chr8
DCC,DCC netrin 1 receptor,Down,1630,1.9175288096483976e-4,0.014639184383698682,1,1057711,40413,CUST_13856_PI416261804,FALSE,chr18
GNAO1,G protein subunit alpha o1,Up,2775,1.922916358368606e-4,0.014639184383698682,1,1056349,39328,A_23_P26582,FALSE,chr16
PECAM1,platelet and endothelial cell adhesion molecule 1,Up,5175,1.9296707995288857e-4,0.014639184383698682,1,1053207,45844,A_23_P252471,FALSE,chr17
RNF212,ring finger protein 212,Down,285498,1.9582836730253956e-4,0.014689803862993261,1,1032314,18185,A_24_P230540,FALSE,chr4
HPGD,15-hydroxyprostaglandin dehydrogenase,Up,3248,1.9706671028805708e-4,0.014689803862993261,1,1019941,7551,A_23_P213050,FALSE,chr4
FAM189A1,family with sequence similarity 189 member A1,Up,23359,1.9803510300620035e-4,0.014689803862993261,1,1016847,5107,A_32_P143000,FALSE,chr15_KN538374v1_fix
MYOF,myoferlin,Up,26509,2.069532791078646e-4,0.015238456889604087,1,1030930,16932,A_23_P86682,FALSE,chr10
CD163,CD163 molecule,Up,9332,2.1790235372210582e-4,0.015927548687395383,1,1027501,13936,A_23_P33723,FALSE,chr12
DUSP4,dual specificity phosphatase 4,Down,1846,2.281397696430387e-4,0.0165550119797492,1,1057446,40218,A_23_P134935,FALSE,chr8
GRIK4,glutamate ionotropic receptor kainate type subunit 4,Up,2900,2.3068644962425479e-4,0.016619382061419333,1,1055988,39123,CUST_1317_PI417557136,FALSE,chr11
TUBB,tubulin beta class I,Up,203068,2.356974341629511e-4,0.01685910075505566,1,1033396,45227,CUST_42_PI417507815,FALSE,chr6_GL000253v2_alt
GTF2H5,general transcription factor IIH subunit 5,Up,404672,2.441637470389491e-4,0.01734082101310664,1,1031127,17110,A_24_P196117,FALSE,chr6
OLFML2B,olfactomedin like 2B,Up,25903,2.6159883570500426e-4,0.018448244653168397,1,1045235,29970,A_24_P248345,FALSE,chr1
HMGB2,high mobility group box 2,Down,3148,2.852303843530049e-4,0.019974105376999937,1,1017776,5831,A_23_P155765,FALSE,chr4
SCN7A,sodium voltage-gated channel alpha subunit 7,Up,6332,2.9274089625746017e-4,0.020357689827237544,1,1021659,8968,A_23_P90944,FALSE,chr2
CREG2,cellular repressor of E1A stimulated genes 2,Up,200407,3.0476997232274856e-4,0.02104804484717244,1,1033529,19266,CUST_8498_PI416261804,FALSE,chr2
UBE2Q2,ubiquitin conjugating enzyme E2 Q2,Down,92912,3.087412417047425e-4,0.02117626571528282,1,1019649,44827,A_23_P77274,FALSE,chr15
TSPAN2,tetraspanin 2,Up,10100,3.1127432091046026e-4,0.021204769044879924,1,1047840,32324,A_23_P201193,FALSE,chr1
CXCL2,C-X-C motif chemokine ligand 2,Up,2920,3.2051155865012876e-4,0.02168650505623236,1,1055916,39096,A_23_P315364,FALSE,chr4
VAT1L,vesicle amine transport 1 like,Up,57687,3.4206910466370914e-4,0.02298979875236499,1,1040458,25653,A_23_P400449,FALSE,chr16
ZCCHC18,zinc finger CCHC-type containing 18,Up,644353,3.4696215201303793e-4,0.023142687977225296,1,1018790,6649,A_24_P6825,FALSE,chrX
RHBDD2,rhomboid domain containing 2,Up,57414,3.4978749531774266e-4,0.023142687977225296,1,1021251,8656,A_23_P8561,FALSE,chr7
AIRE,autoimmune regulator,Up,326,3.514455351230407e-4,0.023142687977225296,1,1059164,41696,A_23_P68740,FALSE,chr21
PDE1C,phosphodiesterase 1C,Down,5137,3.5358810270775615e-4,0.023142687977225296,1,1053285,36895,A_23_P406508,FALSE,chr7
CFD,complement factor D,Up,1675,3.6057532338886513e-4,0.023358407565536702,1,1057651,40362,A_23_P119562,FALSE,chr19
LOC441204,uncharacterized LOC441204,Up,441204,3.615491484579777e-4,0.023358407565536702,1,1011325,763,CUST_481_PI417507815,FALSE,chr7
SHROOM3,shroom family member 3,Down,57619,3.6448539978474747e-4,0.02339715893233629,1,1040511,25705,CUST_6862_PI416261804,FALSE,chr4
ZNF280D,zinc finger protein 280D,Down,54816,3.681870699750776e-4,0.023484237698919917,1,1027751,14165,CUST_385_PI416379584,FALSE,chr15
SPRED1,sprouty related EVH1 domain containing 1,Down,161742,3.8670895900616244e-4,0.024453646795002348,1,1033985,19675,A_24_P107859,FALSE,chr15
GALNT7,polypeptide N-acetylgalactosaminyltransferase 7,Down,51809,3.8826940687091804e-4,0.024453646795002348,1,1043090,28029,A_23_P144384,FALSE,chr4
COPS4,COP9 signalosome subunit 4,Up,51138,3.9324973199588256e-4,0.024612517601292298,1,1043718,28598,A_23_P340457,FALSE,chr4
SYT6,synaptotagmin 6,Up,148281,4.0827801422466684e-4,0.025394385307116855,1,1021194,44889,A_23_P398947,FALSE,chr1
HRK,"harakiri, BCL2 interacting protein",Up,8739,4.283888162570297e-4,0.026436075383802257,1,1062391,42624,A_32_P170454,TRUE,chr12
RBM3,RNA binding motif protein 3,Up,5935,4.335590792600758e-4,0.026436075383802257,1,1052269,36028,A_23_P148308,FALSE,chrX
S100A10,S100 calcium binding protein A10,Up,6281,4.3558542423880294e-4,0.026436075383802257,1,1051841,35750,A_23_P137984,FALSE,chr1
LZTS1,leucine zipper tumor suppressor 1,Up,11178,4.3558542423880294e-4,0.026436075383802257,1,1046511,31140,A_23_P20443,FALSE,chr8
DOCK4,dedicator of cytokinesis 4,Down,9732,4.5543275205225524e-4,0.027474117946092072,1,1048218,32669,A_23_P364580,FALSE,chr7
COL1A2,collagen type I alpha 2 chain,Up,1278,4.74233572726246e-4,0.02838023798586208,1,1058099,40762,A_24_P277934,FALSE,chr7
GABRA5,gamma-aminobutyric acid type A receptor alpha5 subunit,Up,2558,4.761214281630547e-4,0.02838023798586208,1,1056621,39543,CUST_25_PI417557136,FALSE,chr15
KRT17,keratin 17,Up,3872,4.947355913749877e-4,0.029263859860919623,1,1054679,38099,A_23_P96158,FALSE,chr17
ERC2,ELKS/RAB6-interacting/CAST family member 2,Up,26059,4.970274585289857e-4,0.029263859860919623,1,1045067,29810,A_24_P205045,FALSE,chr3
EFR3A,EFR3 homolog A,Up,23167,5.019719776005737e-4,0.029263859860919623,1,1029457,15630,A_23_P71513,FALSE,chr8
MYH10,myosin heavy chain 10,Up,4628,5.026347010263806e-4,0.029263859860919623,1,1053922,45867,A_23_P164081,FALSE,chr17
KCNB2,potassium voltage-gated channel subfamily B member 2,Down,9312,5.194702860609382e-4,0.030069222223203674,1,1048742,33127,A_32_P305500,FALSE,chr8
PTGER3,prostaglandin E receptor 3,Up,5733,5.364778222625498e-4,0.03046008887077458,1,1027786,14197,CUST_12458_PI416261804,FALSE,chr1
KLHL1,kelch like family member 1,Up,57626,5.368294268910467e-4,0.03046008887077458,1,1040501,45442,A_23_P2825,FALSE,chr13
CRTAC1,cartilage acidic protein 1,Up,55118,5.389493971268839e-4,0.03046008887077458,1,1042272,27282,A_23_P431971,FALSE,chr10
RTN4RL2,reticulon 4 receptor like 2,Up,349667,5.389493971268839e-4,0.03046008887077458,1,1064798,43247,A_23_P139104,TRUE,chr11
